FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
85,86,24.5552,90.764,10.99,-1,0,0.084902,11,3.297,0.096982194,0.451584,0.055207,2325.73,16,0,0,0,9.10498,6.9282,0.075128
86,87,24.5369,90.4202,14.9,18.4349,0.324473,0.159206,14,4.47,0.22561236,2.585579,0.884613,5410.41,14,0.216315,-0.108158,0.744795,6.971056,12.4499,0.065137
87,88,24.5285,90.4802,10.05,-1,0,0.145644,14,3.015,0.037047079,2.397494,0.177442,888.426,14,0,0,0,11.05089,9.64365,0.066818
88,89,24.5252,90.687,11.13,90,-0.216315,0.083171,12,3.339,0.066396731,5.503535,5.900445,1592.26,16,0,0.216315,0.942067,9.469239,10.583,0.07451
89,90,24.5203,90.7649,11.97,173.66,0.108158,0.08487,14,3.591,0.057067679,3.557527,3.127024,1368.54,16,0,-0.108158,2.1319,5.999542,10.198,0.07747
90,91,24.5203,90.3217,13.3,-1,0,0.110679,13,3.99,0.067969226,5.178972,0.94155,1629.97,6,0,0,0,13.832368,7.48331,0.050513
91,92,24.5218,90.618,10.87,90,0.324473,0.100267,16,3.261,0.244554856,2.795484,1.162064,5864.67,6,0.216315,-0.108158,0.942067,6.761189,10.583,0.070066
92,93,24.513,90.6127,10.31,180,-0.108158,0.10321,14,3.093,0.276729077,5.627936,4.173455,6636.24,6,0,0.108158,0.471065,10.796634,9.64365,0.068892
93,94,24.506,90.2708,14.3,135,0,0.101603,14,4.29,0.076474292,5.977836,4.242374,1833.93,6,0,0,0.333097,11.699631,5.38516,0.043501
94,95,24.4987,90.729,10.49,285.255,-0.43263,0.077115,11,3.147,0.007076686,4.877305,8.054383,169.706,5,-0.113565,0.319065,2.68358,6.877269,16.7033,0.076473
95,96,24.4907,90.436,14.9,-1,0,0.167127,13,4.47,0.123081189,3.629638,0.371641,2951.61,6,0,0,0,12.283034,9.32738,0.05739
96,97,24.4969,90.4986,10.45,185.194,0.324473,0.134842,17,3.135,0.058623077,3.748093,4.004268,1405.84,14,0.216315,-0.108158,2.59982,5.80921,11.3137,0.06573
97,98,24.474,90.3782,14.8,345.964,-0.324473,0.1344,13,4.44,0.081314374,4.566913,5.383914,1950,20,-0.129789,0.194684,1.94155,7.187298,10.9545,0.045747
98,99,24.473,90.4837,11.07,0,-0.108158,0.145219,12,3.321,0.032836996,11.265027,4.95179,787.464,14,0,0.108158,0.471065,16.433725,10.583,0.060178
99,100,24.4541,90.4224,15.98,68.1986,-0.43263,0.148298,13,4.794,0.056294567,6.208728,17.232875,1350,20,-0.097342,0.335288,2.53517,8.318354,9.32738,0.051721
100,101,24.452,90.2758,15.88,0,-0.108158,0.078529,18,4.764,0.259585922,5.247897,6.569819,6225.13,20,0,0.108158,1.41294,8.467782,14.3178,0.031605
101,102,24.4497,90.5571,12.32,45,0,0.118213,16,3.696,0.007076686,4.335979,5.294576,169.706,14,-0.027039,-0.027039,2.33042,6.607478,16.9706,0.060468
102,103,24.4427,90.5041,10.65,0,-0.108158,0.140409,12,3.195,0.086272883,5.791217,7.012099,2068.91,14,0,0.108158,0.942067,9.756921,10.583,0.058145
103,104,24.4354,90.549,10.87,26.5651,-0.108158,0.131677,12,3.261,0.076963846,7.491998,4.5806,1845.67,14,0,0.108158,1.05324,11.254939,12.0416,0.056507
104,105,24.4341,90.5708,10.54,-1,0,0.102399,14,3.162,0.020364664,1.837878,0.126833,488.365,14,0,0,0,10.491274,15.6525,0.05899
105,106,24.4093,90.4681,14.66,225,0.108158,0.141074,14,4.398,0.094687461,1.917393,0.371152,2270.7,6,0,-0.108158,0.333097,7.639188,8.66025,0.048476
106,107,24.4204,90.5424,10.82,135,0,0.135813,12,3.246,0.146087736,5.984369,8.173342,3503.33,14,0,0,0.999202,9.843305,12.0416,0.053084
107,108,24.4035,90.4427,14.92,-1,0,0.136807,11,4.476,0.125529794,1.550196,0.106726,3010.33,20,0,0,0,10.203592,11.6189,0.046657
108,109,24.3736,90.2569,18.3,0,-0.216315,0.039466,21,5.49,0.237786998,6.050415,14.91105,5702.37,20,-0.216315,0,2.35405,8.30255,15,0.021028
109,110,24.3917,90.5299,10.52,135,0,0.153295,12,3.156,0.073649139,3.526831,0.974842,1766.18,14,0,0,0.333097,9.248626,9,0.047691
110,111,24.3883,90.1326,16.3,108.435,-0.540788,0.097163,25,4.89,0.152009508,5.150528,4.122106,3645.34,20,-0.216315,0.324473,0.744795,9.536005,15.9687,0.042094
111,112,24.3708,90.2838,18.65,-1,0,0.053856,19,5.595,0.156688628,6.111066,1.647122,3757.55,20,0,0,0,14.764462,16.2481,0.018685
112,113,24.3901,90.429,14.98,180,0,0.127569,12,4.494,0.047471748,4.82579,6.163379,1138.42,20,0,0,1.88363,7.503761,14.2478,0.037398
113,114,24.3707,90.3648,16,161.565,-0.108158,0.093244,14,4.8,0.120361953,6.592912,9.794239,2886.4,20,0,0.108158,0.744795,10.978389,9.64365,0.021079
114,115,24.3672,90.5469,10.75,108.435,0.216315,0.148059,14,3.225,0.089696843,3.217743,2.011436,2151.02,5,0.162236,-0.054079,1.48934,6.339076,11.6189,0.045363
115,116,24.3578,90.1922,16.3,336.801,-0.108158,0.063665,24,4.89,0.439339477,3.392811,2.524966,10535.8,20,-0.108158,0,1.79322,6.164116,15.9687,0.031932
116,117,24.3196,90.3515,16.35,234.462,-0.108158,0.080416,18,4.905,0.312817647,4.894848,6.741517,7501.68,20,-0.064894,0.043263,2.02533,7.434762,12.3288,0.011192
117,118,24.3429,90.1282,16.3,-1,0,0.106777,19,4.89,0.247964639,2.849479,0.232719,5946.44,20,0,0,0,11.502875,17.7482,0.044297
118,119,24.3287,90.1202,16.3,71.565,0.648945,0.109956,23,4.89,0.195046078,4.273603,7.907765,4677.4,20,0.324473,-0.324473,4.45999,5.285074,22.4499,0.044297
119,120,24.3072,90.2468,16.3,14.0362,0.43263,0.038561,24,4.89,0.226650265,3.4683,2.785001,5435.3,20,0.216315,-0.216315,1.94155,6.088685,15.3297,0.021544
120,121,24.3043,90.2748,18.05,-1,0,0.047391,20,5.415,0.249085526,0.451584,0.055207,5973.32,20,0,0,0,9.10498,9.16515,0.015891
